IDs,Repo,Pull Request,Organization,Primary Language,Root Cause,Manifestation,Category,Sub-Category,RAdd,REdit,RRemove,RAPI,w/o Tests,mergetime_minutes,num_commits,code_churn,files_changed,Pattern
23,https://github.com/apache/juneau,https://github.com/apache/juneau/pull/16,apache,Java,Other,new feature,regex-like implementation,,2,,,,YES,372.6166667,4,387,7,NA
28,https://github.com/apache/incubator-druid,https://github.com/apache/incubator-druid/pull/4055,apache,Java,Other,new feature,regex-like implementation,,,,,1,YES,14543.25,2,252,8,NA
29,https://github.com/apache/incubator-gobblin,https://github.com/apache/incubator-gobblin/pull/63,apache,Java,Other,new feature,regex configuration entry,,1,,,,YES,7069.75,19,1384,18,NA
38,https://github.com/apache/ambari,https://github.com/apache/ambari/pull/760,apache,Java,Regex,incorrect behavior,rejecting valid strings (T1),,,2,,2,YES,7685.116667,3,28,2,NA
39,https://github.com/apache/nutch,https://github.com/apache/nutch/pull/234,apache,Java,Regex,compile errors,,,,1,,1,NO,1131.25,2,28,7,NA
43,https://github.com/apache/ambari-metrics,https://github.com/apache/ambari-metrics/pull/8,apache,Java,Other,new feature,regex configuration entry,,2,,,,YES,1230.333333,1,15,2,NA
44,https://github.com/apache/incubator-druid,https://github.com/apache/incubator-druid/pull/2130,apache,Java,Other,other failures,,,1,,,,YES,16775.78334,3,1491,29,NA
45,https://github.com/apache/incubator-brooklyn,https://github.com/apache/incubator-brooklyn/pull/910,apache,Java,Other,new feature,regex-like implementation,,2,,,,YES,53430.68333,4,351,8,NA
64,https://github.com/apache/ambari,https://github.com/apache/ambari/pull/730,apache,Java,Other,other failures,,,5,1,1,,YES,830.05,1,2191,16,NA
78,https://github.com/apache/sling-org-apache-sling-feature,https://github.com/apache/sling-org-apache-sling-feature/pull/4,apache,Java,Other,bad smells,,,2,,,,YES,33485.51667,1,112,2,NA
84,https://github.com/apache/incubator-tamaya,https://github.com/apache/incubator-tamaya/pull/21,apache,Java,Regex,incorrect behavior,accepting invalid strings (T2),,,2,,,YES,58.1,1,9,2,1
